iter	Passed	Remaining
180	437	1981
181	439	1977
182	441	1972
183	443	1966
184	445	1961
185	448	1960
186	451	1962
187	453	1957
188	455	1955
189	457	1949
190	458	1942
191	477	2009
192	482	2018
193	483	2010
194	485	2003
195	487	1999
196	489	1995
197	491	1991
198	494	1989
199	499	1996
200	502	1998
201	504	1994
202	507	1992
203	509	1987
204	510	1981
205	512	1973
206	513	1967
207	514	1960
208	516	1954
209	520	1957
210	521	1951
211	523	1945
212	524	1939
213	526	1932
214	531	1939
215	534	1938
216	535	1933
217	537	1928
218	539	1922
219	540	1915
220	541	1909
221	543	1903
222	546	1903
223	550	1907
224	551	1900
225	553	1895
226	554	1889
227	556	1883
228	558	1879
229	562	1883
230	565	1882
231	566	1876
232	568	1871
233	570	1866
234	571	1860
235	574	1859
236	575	1853
237	576	1847
238	578	1841
239	579	1835
240	581	1829
241	582	1825
242	583	1819
243	585	1813
244	586	1807
245	588	1802
246	589	1796
247	590	1791
248	591	1785
249	593	1779
250	594	1774
251	595	1768
252	597	1763
253	598	1758
254	600	1753
255	601	1747
256	602	1742
257	604	1737
258	605	1732
259	606	1726
260	608	1722
261	609	1717
262	610	1711
263	612	1706
264	613	1700
265	614	1695
266	615	1690
267	616	1684
268	619	1682
269	621	1680
270	623	1675
271	624	1671
272	625	1666
273	627	1661
274	628	1656
275	629	1651
276	631	1647
277	632	1642
278	634	1640
279	636	1637
280	638	1633
281	639	1628
282	640	1623
283	642	1618
284	643	1614
285	644	1609
286	646	1605
287	647	1600
288	650	1601
289	652	1596
290	653	1591
291	654	1587
292	655	1582
293	657	1578
294	658	1573
295	659	1568
296	660	1563
297	661	1559
298	663	1554
299	666	1554
300	667	1550
301	668	1545
302	670	1541
303	671	1537
304	672	1532
305	673	1527
306	674	1523
307	676	1518
308	677	1514
309	678	1510
310	682	1511
311	683	1507
312	684	1503
313	686	1499
314	687	1495
315	688	1490
316	689	1486
317	691	1482
318	692	1478
319	693	1474
320	695	1471
321	697	1467
322	698	1464
323	700	1461
324	702	1458
325	703	1454
326	704	1450
327	706	1446
328	707	1442
329	709	1439
330	712	1439
331	713	1435
332	715	1432
333	716	1428
334	718	1425
335	719	1422
336	721	1419
337	722	1415
338	723	1411
339	725	1407
340	727	1406
341	729	1403
342	730	1399
343	731	1395
344	733	1392
345	735	1389
346	736	1385
347	737	1381
348	738	1378
349	740	1374
350	744	1376
351	745	1373
352	747	1370
353	749	1367
354	750	1363
355	751	1360
356	753	1356
357	754	1353
358	755	1349
359	760	1352
360	762	1349
361	763	1345
362	764	1342
363	766	1338
364	767	1335
365	768	1331
366	770	1328
367	776	1333
368	778	1330
369	779	1327
370	780	1323
371	782	1320
372	783	1317
373	784	1313
374	786	1310
375	787	1307
376	790	1305
377	791	1302
378	792	1298
379	793	1294
380	794	1291
381	796	1288
382	797	1284
383	798	1281
384	800	1278
385	802	1275
386	803	1273
387	805	1270
388	806	1267
389	808	1264
390	809	1260
391	811	1257
392	812	1254
393	813	1251
394	814	1248
395	816	1245
396	817	1241
397	819	1238
398	821	1236
399	822	1233
400	823	1230
401	824	1227
402	826	1224
403	827	1220
404	828	1217
405	830	1214
406	831	1211
407	832	1207
408	833	1204
409	836	1203
410	837	1200
411	839	1197
412	840	1194
413	841	1191
414	842	1188
415	844	1185
416	845	1182
417	847	1179
418	848	1176
419	849	1173
420	851	1171
421	852	1168
422	854	1165
423	855	1162
424	856	1159
425	858	1156
426	859	1153
427	860	1150
428	862	1147
429	863	1144
430	865	1142
431	867	1140
432	868	1137
433	870	1134
434	871	1131
435	872	1128
436	873	1125
437	875	1123
438	876	1120
439	878	1117
440	879	1114
441	881	1112
442	883	1110
443	884	1107
444	885	1104
445	887	1102
446	888	1099
447	889	1096
448	891	1093
449	892	1091
450	894	1088
451	895	1086
452	897	1083
453	899	1081
454	900	1078
455	901	1076
456	903	1073
457	905	1071
458	908	1070
459	909	1067
460	910	1065
461	912	1062
462	916	1062
463	918	1061
464	920	1059
465	921	1056
466	922	1053
467	924	1050
468	925	1047
469	926	1045
470	930	1044
471	932	1042
472	933	1040
473	935	1037
474	936	1034
475	937	1032
476	939	1030
477	941	1028
478	949	1032
479	951	1031
480	952	1028
481	954	1025
482	955	1022
483	957	1020
484	964	1023
485	965	1021
486	966	1018
487	968	1015
488	969	1012
489	970	1010
490	972	1007
491	979	1011
492	981	1009
493	983	1007
494	985	1005
495	986	1002
496	988	1000
497	990	998
498	992	996
499	995	995
500	997	993
501	999	991
502	1000	988
503	1002	986
504	1009	989
505	1012	988
506	1014	986
507	1015	983
508	1016	980
509	1018	978
510	1021	977
511	1023	975
512	1026	974
513	1028	972
514	1029	969
515	1031	967
516	1032	964
517	1034	962
518	1040	964
519	1042	962
520	1044	960
521	1047	959
522	1051	959
523	1054	957
524	1057	956
525	1059	954
526	1063	954
527	1072	959
528	1077	959
529	1079	957
530	1085	958
531	1088	957
532	1093	958
533	1103	962
534	1108	963
535	1112	963
536	1115	961
537	1119	961
538	1121	959
539	1123	957
540	1131	959
541	1133	957
542	1135	955
543	1145	960
544	1151	961
545	1154	960
546	1157	958
547	1158	955
548	1165	957
549	1166	954
550	1169	953
551	1172	951
552	1173	948
553	1177	947
554	1179	945
555	1180	942
556	1182	940
557	1183	937
558	1185	935
559	1186	932
560	1188	929
561	1189	927
562	1192	925
563	1193	922
564	1195	920
565	1196	917
566	1198	914
567	1199	912
568	1200	909
569	1201	906
570	1203	903
571	1204	901
572	1205	898
573	1208	896
574	1210	894
575	1212	892
576	1213	889
577	1215	887
578	1217	885
579	1218	882
580	1220	880
581	1225	880
582	1227	877
583	1228	875
584	1230	872
585	1231	870
586	1232	867
587	1234	864
588	1235	862
589	1238	860
590	1240	858
591	1241	855
592	1243	853
593	1244	850
594	1246	848
595	1247	845
596	1249	843
597	1250	840
598	1253	839
599	1255	837
600	1256	834
601	1258	831
602	1259	829
603	1261	826
604	1262	824
605	1264	821
606	1265	819
607	1267	817
608	1269	814
609	1270	812
610	1271	809
611	1273	807
612	1275	804
613	1276	802
614	1280	801
615	1283	799
616	1284	797
617	1286	795
618	1287	792
619	1291	791
620	1295	790
621	1297	788
622	1298	785
623	1300	783
624	1301	781
625	1303	778
626	1304	776
627	1306	773
628	1307	771
629	1309	768
630	1310	766
631	1312	764
632	1313	761
633	1314	758
634	1316	756
635	1317	754
636	1318	751
637	1320	749
638	1321	746
639	1322	743
640	1324	741
641	1326	739
642	1328	737
643	1330	735
644	1332	733
645	1333	730
646	1335	728
647	1336	725
648	1337	723
649	1339	721
650	1342	719
651	1344	717
652	1346	715
653	1348	713
654	1349	711
655	1351	708
656	1352	706
657	1353	703
658	1358	703
659	1360	700
660	1361	698
661	1363	696
662	1364	693
663	1366	691
664	1367	689
665	1369	686
666	1373	685
667	1376	684
668	1377	681
669	1379	679
670	1380	676
671	1381	674
672	1383	672
673	1384	669
674	1386	667
675	1392	667
676	1393	665
677	1395	662
678	1396	660
679	1398	657
680	1400	655
681	1403	654
682	1405	652
683	1407	650
684	1408	647
685	1412	646
686	1415	644
687	1422	645
688	1424	643
689	1426	640
690	1427	638
691	1428	635
692	1430	633
693	1434	632
694	1437	630
695	1441	629
696	1450	630
697	1452	628
698	1454	626
699	1455	623
700	1457	621
701	1459	619
702	1471	621
703	1473	619
704	1475	617
705	1476	614
706	1481	614
707	1484	612
708	1486	609
709	1487	607
710	1488	605
711	1491	603
712	1492	600
713	1493	598
714	1498	597
715	1500	594
716	1501	592
717	1503	590
718	1504	587
719	1505	585
720	1507	583
721	1511	581
722	1513	579
723	1515	577
724	1516	575
725	1518	573
726	1520	570
727	1522	568
728	1527	567
729	1528	565
730	1530	563
731	1531	560
732	1532	558
733	1533	555
734	1535	553
735	1536	551
736	1537	548
737	1538	546
738	1541	544
739	1542	542
740	1543	539
741	1545	537
742	1546	534
743	1547	532
744	1548	530
745	1550	527
746	1551	525
747	1552	523
748	1553	520
749	1554	518
750	1557	516
751	1558	513
752	1559	511
753	1560	509
754	1562	506
755	1563	504
756	1565	502
757	1566	500
758	1567	497
759	1568	495
760	1570	493
761	1572	491
762	1573	488
763	1575	486
764	1576	484
765	1578	482
766	1579	479
767	1580	477
768	1581	475
769	1582	472
770	1583	470
771	1585	468
772	1587	466
773	1588	463
774	1590	461
775	1591	459
776	1593	457
777	1594	455
778	1596	452
779	1597	450
780	1599	448
781	1600	446
782	1603	444
783	1607	442
784	1609	440
785	1611	438
786	1613	436
787	1614	434
788	1616	432
789	1619	430
790	1622	428
791	1623	426
792	1625	424
793	1626	421
794	1627	419
795	1629	417
796	1630	415
797	1631	413
798	1634	411
799	1636	409
800	1637	406
801	1639	404
802	1640	402
803	1642	400
804	1643	398
805	1644	395
806	1646	393
807	1647	391
808	1652	390
809	1654	388
810	1656	386
811	1658	383
812	1659	381
813	1661	379
814	1662	377
815	1666	375
816	1667	373
817	1669	371
818	1670	369
819	1672	367
820	1673	364
821	1674	362
822	1676	360
823	1677	358
824	1678	356
825	1681	354
826	1682	352
827	1683	349
828	1685	347
829	1686	345
830	1687	343
831	1689	341
832	1690	338
833	1692	336
834	1693	334
835	1695	332
836	1697	330
837	1698	328
838	1700	326
839	1702	324
840	1703	322
841	1705	319
842	1751	326
843	1753	324
844	1755	321
845	1757	319
846	1759	317
847	1764	316
848	1766	314
849	1768	312
850	1770	309
851	1772	307
852	1773	305
853	1778	304
854	1781	302
855	1783	299
856	1785	297
857	1787	295
858	1788	293
859	1815	295
860	1836	296
861	1838	294
862	1844	292
863	1846	290
864	1848	288
865	1850	286
866	1852	284
867	1854	281
868	1859	280
869	1861	278
870	1863	275
871	1865	273
872	1867	271
873	1868	269
874	1870	267
875	1873	265
876	1875	263
877	1876	260
878	1878	258
879	1895	258
880	1897	256
881	1901	254
882	1906	252
883	1907	250
884	1908	248
885	1910	245
886	1911	243
887	1912	241
888	1914	239
889	1915	236
890	1916	234
891	1919	232
892	1921	230
893	1923	228
894	1925	225
895	1926	223
896	1927	221
897	1929	219
898	1930	216
899	1932	214
900	1935	212
901	1937	210
902	1938	208
903	1939	206
904	1941	203
905	1942	201
906	1943	199
907	1944	197
908	1946	194
909	1947	192
910	1948	190
911	1950	188
912	1952	186
913	1953	183
914	1954	181
915	1955	179
916	1957	177
917	1958	174
918	1959	172
919	1961	170
920	1962	168
921	1963	166
922	1966	164
923	1967	161
924	1968	159
925	1969	157
926	1971	155
927	1972	153
928	1973	150
929	1974	148
930	1976	146
931	1977	144
932	1978	142
933	1980	139
934	1982	137
935	1983	135
936	1984	133
937	1986	131
938	1987	129
939	1988	126
940	1990	124
941	1991	122
942	1992	120
943	1993	118
944	1995	116
945	1997	114
946	1998	111
947	1999	109
948	2000	107
949	2002	105
950	2003	103
951	2004	101
952	2005	98
953	2006	96
954	2008	94
955	2009	92
956	2010	90
957	2012	88
958	2014	86
959	2015	83
960	2016	81
961	2017	79
962	2019	77
963	2021	75
964	2023	73
965	2024	71
966	2026	69
967	2029	67
968	2031	64
969	2032	62
970	2034	60
971	2035	58
972	2036	56
973	2038	54
974	2039	52
975	2040	50
976	2041	48
977	2043	45
978	2044	43
979	2045	41
980	2047	39
981	2048	37
982	2050	35
983	2051	33
984	2052	31
985	2054	29
986	2055	27
987	2056	24
988	2058	22
989	2060	20
990	2061	18
991	2062	16
992	2063	14
993	2065	12
994	2066	10
995	2068	8
996	2069	6
997	2070	4
998	2071	2
999	2073	0
